Name,RANK,GP,PPG,FGA,RPG,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,APG,BPG,SPG,TPG,F,POS,Team
       Matur Maker    ,103,8,2.75,3.38,3.25,0.88,25.9,1.63,0.25,15.4,1.13,0.75,66.7,0.5,0.63,0.38,0.75,8,C,Sydney Kings
       Jarrad Weeks    ,104,12,2.58,2.58,1.08,0.92,35.5,1.58,0.42,26.3,0.33,0.33,100,1.25,0.08,0.08,0.5,7,G,Tasmanian Jackjumpers
       Hyrum Harris    ,105,7,2.57,1.86,1.57,0.86,46.2,0.57,0,--,1,0.86,85.7,0.57,0,0.29,0.86,6,F,Adelaide 36ers
       Akoldah Gak    ,106,4,2.5,1.75,0.75,1.25,71.4,0,0,--,0,0,--,0,0,0,0,1,F,Illawarra Hawks
       William Hickey    ,107,2,2.5,2,1,1,50,1.5,0.5,33.3,0,0,--,0.5,0,0,1,0,G,Melbourne United
       Chuanxing Liu    ,108,11,2.45,1.73,2.09,1,57.9,0,0,--,0.82,0.45,55.6,0.27,0.09,0.09,0.55,10,C,Brisbane Bullets
       Jarred Bairstow    ,109,7,2.43,1.57,1.71,1,63.6,0,0,--,1,0.43,42.9,0.57,0,0.57,0.29,9,F,Tasmanian Jackjumpers
       Sam Timmins    ,110,7,2.43,1.71,1.71,1,58.3,0,0,--,0.57,0.43,75,0.29,0.43,0,0.29,4,C,New Zealand Breakers
       Tad Dufelmeier    ,111,9,2.11,2.33,1.11,0.89,38.1,0.22,0,--,0.56,0.33,60,1.44,0,0.33,1.22,5,G,Adelaide 36ers
       Owen Foxwell    ,112,1,2,1,1,1,100,0,0,--,0,0,--,0,0,0,0,0,G,South East Melbourne Phoenix
       Dane Pineau    ,113,8,1.88,2.25,3.88,0.88,38.9,0,0,--,0.5,0.13,25,0.75,0.38,0.25,0.38,4,C,South East Melbourne Phoenix
       David Barlow    ,114,11,1.82,2.82,1.64,0.64,22.6,2.55,0.55,21.4,0.18,0,--,0.82,0.45,0.27,0.36,2,F,Melbourne United
